Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=3, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='/home/ubuntu/Distributed-DCGAN/output_nproc_4_at_20220509-120059', seed=0)
Using seed: 0
Using GPU: False
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='/home/ubuntu/Distributed-DCGAN/output_nproc_4_at_20220509-120059', seed=0)
Using seed: 0
Using GPU: False
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='/home/ubuntu/Distributed-DCGAN/output_nproc_4_at_20220509-120059', seed=0)
Using seed: 0
Using GPU: False
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=2, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='/home/ubuntu/Distributed-DCGAN/output_nproc_4_at_20220509-120059', seed=0)
Using seed: 0
Using GPU: False
Rank: 0. World Size: 4
Rank: 1. World Size: 4
Rank: 3. World Size: 4
Rank: 2. World Size: 4
Dataset cifar10 loaded
Dataset cifar10 loaded
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,0,Initialization Time: 1.5403368473052979
Rank,2,Initialization Time: 1.501408338546753
Rank: 2, Epoch: 0, Training ...
Rank,3,Initialization Time: 1.5515539646148682
Rank: 3, Epoch: 0, Training ...
Rank,1,Initialization Time: 1.5331850051879883
Rank: 1, Epoch: 0, Training ...
Rank: 0, Epoch: 0, Training ...
[epoch: 0/1][iteration: 11/782][rank: 3] Loss_D: 0.2773, Loss_G: 8.6059, D(x): 0.9004, D(G(z)): 0.1549 / 0.0002, iteration time: 2.1968s
[epoch: 0/1][iteration: 11/782][rank: 2] Loss_D: 0.3728, Loss_G: 8.6059, D(x): 0.8318, D(G(z)): 0.1549 / 0.0002, iteration time: 2.1940s
[epoch: 0/1][iteration: 11/782][rank: 1] Loss_D: 0.3851, Loss_G: 8.6059, D(x): 0.8323, D(G(z)): 0.1549 / 0.0002, iteration time: 2.2132s
[epoch: 0/1][iteration: 11/782][rank: 0] Loss_D: 0.2915, Loss_G: 8.6059, D(x): 0.8920, D(G(z)): 0.1549 / 0.0002, iteration time: 2.2182s
[epoch: 0/1][iteration: 12/782][rank: 3] Loss_D: 0.1471, Loss_G: 7.7059, D(x): 0.9334, D(G(z)): 0.0733 / 0.0005, iteration time: 2.2270s
[epoch: 0/1][iteration: 12/782][rank: 2] Loss_D: 0.2251, Loss_G: 7.7059, D(x): 0.8706, D(G(z)): 0.0733 / 0.0005, iteration time: 2.2154s
[epoch: 0/1][iteration: 12/782][rank: 1] Loss_D: 0.2437, Loss_G: 7.7059, D(x): 0.8746, D(G(z)): 0.0733 / 0.0005, iteration time: 2.2135s
[epoch: 0/1][iteration: 12/782][rank: 0] Loss_D: 0.2227, Loss_G: 7.7059, D(x): 0.8740, D(G(z)): 0.0733 / 0.0005, iteration time: 2.2090s
[epoch: 0/1][iteration: 13/782][rank: 2] Loss_D: 0.4091, Loss_G: 11.5440, D(x): 0.9611, D(G(z)): 0.2976 / 0.0000, iteration time: 2.1880s
[epoch: 0/1][iteration: 13/782][rank: 3] Loss_D: 0.4028, Loss_G: 11.5440, D(x): 0.9660, D(G(z)): 0.2976 / 0.0000, iteration time: 2.2031s
[epoch: 0/1][iteration: 13/782][rank: 0] Loss_D: 0.4009, Loss_G: 11.5440, D(x): 0.9679, D(G(z)): 0.2976 / 0.0000, iteration time: 2.1894s
[epoch: 0/1][iteration: 13/782][rank: 1] Loss_D: 0.4175, Loss_G: 11.5440, D(x): 0.9526, D(G(z)): 0.2976 / 0.0000, iteration time: 2.2176s
[epoch: 0/1][iteration: 14/782][rank: 0] Loss_D: 0.2319, Loss_G: 10.4235, D(x): 0.8295, D(G(z)): 0.0009 / 0.0000, iteration time: 2.1787s
[epoch: 0/1][iteration: 14/782][rank: 2] Loss_D: 0.0908, Loss_G: 10.4235, D(x): 0.9155, D(G(z)): 0.0009 / 0.0000, iteration time: 2.2154s
[epoch: 0/1][iteration: 14/782][rank: 1] Loss_D: 0.3301, Loss_G: 10.4235, D(x): 0.8248, D(G(z)): 0.0009 / 0.0000, iteration time: 2.1809s
[epoch: 0/1][iteration: 14/782][rank: 3] Loss_D: 0.1948, Loss_G: 10.4235, D(x): 0.8470, D(G(z)): 0.0009 / 0.0000, iteration time: 2.2159s
[epoch: 0/1][iteration: 15/782][rank: 1] Loss_D: 0.1002, Loss_G: 6.1801, D(x): 0.9214, D(G(z)): 0.0152 / 0.0024, iteration time: 2.1617s
[epoch: 0/1][iteration: 15/782][rank: 2] Loss_D: 0.0952, Loss_G: 6.1801, D(x): 0.9251, D(G(z)): 0.0152 / 0.0024, iteration time: 2.2093s
[epoch: 0/1][iteration: 15/782][rank: 3] Loss_D: 0.0737, Loss_G: 6.1801, D(x): 0.9446, D(G(z)): 0.0152 / 0.0024, iteration time: 2.1793s
[epoch: 0/1][iteration: 15/782][rank: 0] Loss_D: 0.0759, Loss_G: 6.1801, D(x): 0.9442, D(G(z)): 0.0152 / 0.0024, iteration time: 2.2319s
[epoch: 0/1][iteration: 16/782][rank: 2] Loss_D: 2.0096, Loss_G: 13.6242, D(x): 0.9080, D(G(z)): 0.8364 / 0.0000, iteration time: 2.1688s
[epoch: 0/1][iteration: 16/782][rank: 3] Loss_D: 1.9294, Loss_G: 13.6242, D(x): 0.9774, D(G(z)): 0.8364 / 0.0000, iteration time: 2.1789s
[epoch: 0/1][iteration: 16/782][rank: 1] Loss_D: 1.9678, Loss_G: 13.6242, D(x): 0.9429, D(G(z)): 0.8364 / 0.0000, iteration time: 2.2194s
[epoch: 0/1][iteration: 16/782][rank: 0] Loss_D: 1.9962, Loss_G: 13.6242, D(x): 0.9189, D(G(z)): 0.8364 / 0.0000, iteration time: 2.1866s
[epoch: 0/1][iteration: 17/782][rank: 0] Loss_D: 0.3689, Loss_G: 14.4337, D(x): 0.8039, D(G(z)): 0.0000 / 0.0000, iteration time: 2.1846s
[epoch: 0/1][iteration: 17/782][rank: 2] Loss_D: 0.0918, Loss_G: 14.4337, D(x): 0.9180, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2339s
[epoch: 0/1][iteration: 17/782][rank: 1] Loss_D: 0.2219, Loss_G: 14.4337, D(x): 0.8293, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2219s
[epoch: 0/1][iteration: 17/782][rank: 3] Loss_D: 0.0878, Loss_G: 14.4337, D(x): 0.9183, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2256s
[epoch: 0/1][iteration: 18/782][rank: 0] Loss_D: 0.0858, Loss_G: 13.5239, D(x): 0.9204, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2074s
[epoch: 0/1][iteration: 18/782][rank: 1] Loss_D: 0.1271, Loss_G: 13.5239, D(x): 0.8867, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2028s
[epoch: 0/1][iteration: 18/782][rank: 2] Loss_D: 0.3027, Loss_G: 13.5239, D(x): 0.7899, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2018s
[epoch: 0/1][iteration: 18/782][rank: 3] Loss_D: 0.5077, Loss_G: 13.5239, D(x): 0.6743, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2179s
[epoch: 0/1][iteration: 19/782][rank: 0] Loss_D: 0.1079, Loss_G: 10.7471, D(x): 0.9173, D(G(z)): 0.0000 / 0.0000, iteration time: 2.1884s
[epoch: 0/1][iteration: 19/782][rank: 1] Loss_D: 0.0560, Loss_G: 10.7471, D(x): 0.9468, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2021s
[epoch: 0/1][iteration: 19/782][rank: 2] Loss_D: 0.0438, Loss_G: 10.7471, D(x): 0.9578, D(G(z)): 0.0000 / 0.0000, iteration time: 2.1965s
[epoch: 0/1][iteration: 19/782][rank: 3] Loss_D: 0.0548, Loss_G: 10.7471, D(x): 0.9494, D(G(z)): 0.0000 / 0.0000, iteration time: 2.1951s
[epoch: 0/1][iteration: 20/782][rank: 0] Loss_D: 0.0712, Loss_G: 4.9270, D(x): 0.9587, D(G(z)): 0.0270 / 0.0095, iteration time: 2.1856s
[epoch: 0/1][iteration: 20/782][rank: 2] Loss_D: 0.0506, Loss_G: 4.9270, D(x): 0.9778, D(G(z)): 0.0270 / 0.0095, iteration time: 2.1814s
[epoch: 0/1][iteration: 20/782][rank: 1] Loss_D: 0.0475, Loss_G: 4.9270, D(x): 0.9807, D(G(z)): 0.0270 / 0.0095, iteration time: 2.1919s
[epoch: 0/1][iteration: 20/782][rank: 3] Loss_D: 0.1728, Loss_G: 4.9270, D(x): 0.8748, D(G(z)): 0.0270 / 0.0095, iteration time: 2.2011s
[epoch: 0/1][iteration: 21/782][rank: 2] Loss_D: 3.5678, Loss_G: 13.1485, D(x): 0.9866, D(G(z)): 0.9695 / 0.0000, iteration time: 2.1602s
[epoch: 0/1][iteration: 21/782][rank: 1] Loss_D: 3.5658, Loss_G: 13.1485, D(x): 0.9885, D(G(z)): 0.9695 / 0.0000, iteration time: 2.1878s
[epoch: 0/1][iteration: 21/782][rank: 3] Loss_D: 3.6446, Loss_G: 13.1485, D(x): 0.9400, D(G(z)): 0.9695 / 0.0000, iteration time: 2.1630s
[epoch: 0/1][iteration: 21/782][rank: 0] Loss_D: 3.6117, Loss_G: 13.1485, D(x): 0.9540, D(G(z)): 0.9695 / 0.0000, iteration time: 2.2142s
[epoch: 0/1][iteration: 22/782][rank: 0] Loss_D: 0.1031, Loss_G: 14.1534, D(x): 0.9101, D(G(z)): 0.0000 / 0.0000, iteration time: 2.1628s
[epoch: 0/1][iteration: 22/782][rank: 2] Loss_D: 0.0823, Loss_G: 14.1534, D(x): 0.9241, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2118s
[epoch: 0/1][iteration: 22/782][rank: 1] Loss_D: 0.1457, Loss_G: 14.1534, D(x): 0.8788, D(G(z)): 0.0000 / 0.0000, iteration time: 2.1887s
[epoch: 0/1][iteration: 22/782][rank: 3] Loss_D: 0.2097, Loss_G: 14.1534, D(x): 0.8281, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2058s
[epoch: 0/1][iteration: 23/782][rank: 0] Loss_D: 0.1418, Loss_G: 13.2611, D(x): 0.8735, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2162s
[epoch: 0/1][iteration: 23/782][rank: 2] Loss_D: 0.1929, Loss_G: 13.2611, D(x): 0.8889, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2173s
[epoch: 0/1][iteration: 23/782][rank: 1] Loss_D: 0.1427, Loss_G: 13.2611, D(x): 0.8892, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2066s
[epoch: 0/1][iteration: 23/782][rank: 3] Loss_D: 0.2440, Loss_G: 13.2611, D(x): 0.8304, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2092s
[epoch: 0/1][iteration: 24/782][rank: 2] Loss_D: 0.1405, Loss_G: 10.7368, D(x): 0.8791, D(G(z)): 0.0000 / 0.0000, iteration time: 2.1686s
[epoch: 0/1][iteration: 24/782][rank: 1] Loss_D: 0.1705, Loss_G: 10.7368, D(x): 0.8509, D(G(z)): 0.0000 / 0.0000, iteration time: 2.1875s
[epoch: 0/1][iteration: 24/782][rank: 0] Loss_D: 0.1739, Loss_G: 10.7368, D(x): 0.8745, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2306s
[epoch: 0/1][iteration: 24/782][rank: 3] Loss_D: 0.0916, Loss_G: 10.7368, D(x): 0.9200, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2100s
[epoch: 0/1][iteration: 25/782][rank: 0] Loss_D: 0.1393, Loss_G: 5.3702, D(x): 0.9025, D(G(z)): 0.0061 / 0.0058, iteration time: 2.1512s
[epoch: 0/1][iteration: 25/782][rank: 2] Loss_D: 0.1658, Loss_G: 5.3702, D(x): 0.8780, D(G(z)): 0.0061 / 0.0058, iteration time: 2.2107s
[epoch: 0/1][iteration: 25/782][rank: 3] Loss_D: 0.0824, Loss_G: 5.3702, D(x): 0.9327, D(G(z)): 0.0061 / 0.0058, iteration time: 2.1967s
[epoch: 0/1][iteration: 25/782][rank: 1] Loss_D: 0.0507, Loss_G: 5.3702, D(x): 0.9572, D(G(z)): 0.0061 / 0.0058, iteration time: 2.2137s
[epoch: 0/1][iteration: 26/782][rank: 3] Loss_D: 3.1433, Loss_G: 13.5891, D(x): 0.9341, D(G(z)): 0.9465 / 0.0000, iteration time: 2.1543s
[epoch: 0/1][iteration: 26/782][rank: 1] Loss_D: 3.0781, Loss_G: 13.5891, D(x): 0.9852, D(G(z)): 0.9465 / 0.0000, iteration time: 2.1651s
[epoch: 0/1][iteration: 26/782][rank: 2] Loss_D: 3.1316, Loss_G: 13.5891, D(x): 0.9374, D(G(z)): 0.9465 / 0.0000, iteration time: 2.1948s
[epoch: 0/1][iteration: 26/782][rank: 0] Loss_D: 3.0970, Loss_G: 13.5891, D(x): 0.9681, D(G(z)): 0.9465 / 0.0000, iteration time: 2.2310s
[epoch: 0/1][iteration: 27/782][rank: 3] Loss_D: 0.1246, Loss_G: 14.7183, D(x): 0.9096, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2152s
[epoch: 0/1][iteration: 27/782][rank: 1] Loss_D: 0.2745, Loss_G: 14.7183, D(x): 0.8067, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2264s
[epoch: 0/1][iteration: 27/782][rank: 2] Loss_D: 0.0630, Loss_G: 14.7183, D(x): 0.9408, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2152s
[epoch: 0/1][iteration: 27/782][rank: 0] Loss_D: 0.2435, Loss_G: 14.7183, D(x): 0.7965, D(G(z)): 0.0000 / 0.0000, iteration time: 2.2191s
